"dt","buyer_country","buyer_region","seller_country","seller_region","logistics_provider","parcel_qty","sum_apt","sum_bwt"
"2026-01-01","MY","Selangor","MY","Sarawak","Ninja Van","30198","25882.41","109178.35"
"2026-01-01","PH","Calabarzon","PH","West Visayas","LBC Express","17431","11096.8","45881.34"
"2026-01-01","PH","NCR","PH","SOCCSKSARGEN","2GO Express","32336","23762.97","123643.74"
"2026-01-01","PH",,"PH","Central Visayas","J&T","27353","19222.35","128598.55"
"2026-01-01","MY","Kedah","MY","Negeri Sembilan","J&T","9817","8179.64","24388.36"
"2026-01-01","MY","Pahang","MY","Negeri Sembilan","Ninja Van","21729","17287.23","37132.94"
"2026-01-01","PH","Bicol Region","PH","Central Luzon","LBC Express","23517","16785.71","66675.5"
"2026-01-01","PH","Northern Mindanao","PH","Calabarzon","LBC Express","8039","4889.73","39318.61"
"2026-01-01","MY","Negeri Sembilan","MY","Negeri Sembilan","J&T","17926","13689.29","24193.22"
"2026-01-01","TH","Nonthaburi","TH","Khon Kaen","Ninja Van","9427","8269.21","18772.15"
"2026-01-01","ID","Banten","ID","Banten","J&T","9613","5917.49","9857.72"
"2026-01-01","PH","West Visayas","PH","Bicol Region","J&T","8121","7189.28","15007.1"
"2026-01-01","TH","Nakhon Sawan","TH","Surat Thani","J&T","23957","18429.93","90885.08"
"2026-01-01","TH","Chiang Mai","TH","Khon Kaen","Ninja Van","26090","23551.7","69803.33"
"2026-01-01","MY","Sabah","MY","Sabah","J&T","17876","13555.04","24069.04"
"2026-01-01","TH","Nonthaburi","TH","BKK","Kerry Express","12371","8206.01","15860.4"
"2026-01-01","MY","Selangor","MY","Johor","Ninja Van","15659","11653.28","28386.88"
"2026-01-01","ID","Banten","ID","East Java","Pos Indonesia","17409","12717.21","52590.83"
"2026-01-01","TH","Uknown","TH","Uknown","J&T","27875","19188.93","125198.79"
"2026-01-01","TH","BKK","TH","BKK","Kerry Express","28563","18469.91","36781.23"
"2026-01-01","ID","West Java","ID","West Java","J&T","20341","12498.42","21137.5"
"2026-01-01","MY","Johor","MY","Pahang","DHL","21108","15053.29","37106.26"
"2026-01-01","ID","South Sulawesi","ID","Jakarta","Pos Indonesia","17739","10953.8","107876.14"
"2026-01-01","MY","Sarawak","MY","Penang","Pos Malaysia","8905","6595.49","53203.26"
"2026-01-01","PH","NCR","PH","Central Visayas","J&T","10151","7574.36","25042.48"
"2026-01-01","TH","Nakhon Sawan","TH","Songkhla","DHL","19917","16111.51","89382.29"
"2026-01-01","MY","Negeri Sembilan","MY","Johor","Pos Malaysia","22011","16538.61","56960.95"
"2026-01-01","TH","Khon Kaen","TH","Unknown","J&T","7556","4277.13","38655.3"
"2026-01-01","MY","Kedah","MY","Perak","Pos Malaysia","26155","23539.36","58156.96"
"2026-01-01","PH","Ilocos Region","PH","Northern Mindanao","2GO Express","15510","12842.54","68760.84"
"2026-01-01","ID","Central Java","ID","East Java","Pos Indonesia","23542","17148.74","39400.04"
"2026-01-01","PH","Bicol Region","PH","Central Visayas","LBC Express","14703","11078.31","43572.3"
"2026-01-01","PH","NCR","PH","NCR","2GO Express","33113","22758.99","35430.85"
"2026-01-01","ID","North Sumatra","ID","West Java","Pos Indonesia","24203","15478.55","148063.04"
"2026-01-01","ID","East Java","ID","Jakarta","Ninja Van","22608","14504.68","305967.91"
"2026-01-01","PH","Central Visayas","PH","Calabarzon","2GO Express","27326","15381.02","63967.01"
"2026-01-01","MY","Penang","MY","Selangor","Ninja Van","24682","16189.2","43244.26"
"2026-01-01","TH","Nakhon Sawan","TH","Chiang Mai","Ninja Van","23154","18447.17","59310.73"
"2026-01-01","TH","Korat","TH","Surat Thani","J&T","16943","12649.98","52097.53"
"2026-01-01","MY","Selangor","MY","Penang","J&T","16986","12387.51","30959.72"
"2026-01-01","PH","Calabarzon","PH","NCR","Ninja Van","24259","16476.69","25582.2"
"2026-01-01","MY","Sarawak","MY","Pahang","Ninja Van","16274","13204.44","61630.02"
"2026-01-01","MY","Kedah","MY","Kuala Lumpur","Ninja Van","16127","12313.02","35778.2"
"2026-01-01","ID","Bali","ID","West Java","Ninja Van","7583","5043.85","29276.12"
"2026-01-01","PH","Bicol Region","PH","Northern Mindanao","Ninja Van","12341","9475.68","38376.32"
"2026-01-01","TH","Phuket","TH","Phuket","DHL","21466","12351.7","23223.17"
"2026-01-01","PH","West Visayas","PH","Central Luzon","J&T","26702","17918.32","65068.55"
"2026-01-01","MY","Pahang","MY","Johor","Pos Malaysia","22829","17805.03","54775.71"
"2026-01-01","TH","Nonthaburi","TH","Phuket","J&T","22068","13554.2","62575.17"
"2026-01-01","ID","Central Java","ID","Jakarta","Pos Indonesia","19518","12657.66","41245.14"
"2026-01-01","MY","Kedah","MY","Selangor","J&T","13798","9570.86","30552.33"
"2026-01-01","TH","Songkhla","TH","Songkhla","Ninja Van","15430","13519.77","18227.02"
"2026-01-01","MY","Kuala Lumpur","MY","Pahang","Pos Malaysia","22452","18749.68","41399.57"
"2026-01-01","PH","Calabarzon","PH","Ilocos Region","J&T","28086","22816.41","41898.23"
"2026-01-01","TH","Korat","TH","Chiang Mai","Kerry Express","25964","22324.39","78706.5"
"2026-01-01","ID","Central Java","ID","South Sulawesi","Pos Indonesia","25743","21123.07","93791.26"
"2026-01-01","TH","Chonburi","TH","Songkhla","J&T","23436","19661.67","65673.78"
"2026-01-01","TH","Chiang Mai","TH","Chonburi","Kerry Express","18527","12195.04","70694.11"
"2026-01-01","MY","Perak","MY","Johor","Ninja Van","24347","17705.3","62397.91"
"2026-01-01","PH","Central Luzon","PH","SOCCSKSARGEN","2GO Express","18218","13663.61","70951.83"
"2026-01-01","ID","Uknown","ID","Uknown","J&T","11078","6515.87","51639.19"
"2026-01-01","MY","Penang","MY","Negeri Sembilan","Pos Malaysia","7779","6578.55","18082.95"
"2026-01-01","PH","SOCCSKSARGEN","PH","Central Visayas","LBC Express","14660","11114.83","48321.01"
"2026-01-01","ID","Banten","ID","West Java","Ninja Van","16224","10895.54","24060.93"
"2026-01-01","TH","Songkhla","TH","Korat","J&T","15174","9336.21","56036.3"
"2026-01-01","PH","Central Visayas","PH","Bicol Region","LBC Express","21951","19686.46","51885.76"
"2026-01-01","TH","Chonburi","TH","Korat","Ninja Van","10972","6914.9","126057.48"
"2026-01-01","TH","Nonthaburi","TH","Nakhon Sawan","J&T","24764","19301.82","39553.73"
"2026-01-01","PH","SOCCSKSARGEN","PH","Ilocos Region","J&T","10077","7941.46","52623.2"
"2026-01-01","ID","Riau","ID","Bali","DHL","12064","9251.52","91806.38"
"2026-01-01","PH","West Visayas","PH","Ilocos Region","Ninja Van","25423","21663.59","67622.24"
"2026-01-01","TH","Nonthaburi","TH","Korat","Kerry Express","18383","12205.77","34315.24"
"2026-01-01","MY","Selangor","MY","Perak","FedEx","9902","7739.5","14321.63"
"2026-01-01","MY","Negeri Sembilan","MY","Pahang","Pos Malaysia","9927","8143.63","22932.87"
"2026-01-01","TH","Phuket","TH","BKK","Ninja Van","8723","5237.68","25847.17"
"2026-01-01","MY","Kedah","MY","Kedah","Ninja Van","25948","24042.98","33262.76"
"2026-01-01","PH","SOCCSKSARGEN","PH","NCR","LBC Express","25865","17819.99","156105.13"
"2026-01-01","TH","BKK","TH","Khon Kaen","Ninja Van","9222","7842.82","19414.11"
"2026-01-01","ID","West Java","ID","Riau","J&T","27871","20123.0","108994.16"
"2026-01-01","MY","Penang","MY","Pahang","J&T","25899","20106.76","51341.29"
"2026-01-01","MY","Kedah","MY","Johor","Ninja Van","15860","11930.69","48448.44"
"2026-01-01","TH","Korat","TH","Songkhla","J&T","20701","17129.33","72224.39"
"2026-01-01","ID","Banten","ID","Bali","Ninja Van","17278","13888.26","69739.53"
"2026-01-01","PH","Central Visayas","PH","Northern Mindanao","2GO Express","28342","22385.73","45189.13"
"2026-01-01","ID","Riau","ID","South Sulawesi","Pos Indonesia","8896","7483.87","74032.6"
"2026-01-01","ID","Riau","ID","Jakarta","Ninja Van","7960","5164.48","36846.74"
"2026-01-01","TH","Surat Thani","TH","Nonthaburi","J&T","14599","9161.62","42804.59"
"2026-01-01","ID","Bali","ID","Central Java","Pos Indonesia","21301","16654.11","62534.83"
"2026-01-01","TH","Songkhla","TH","Surat Thani","J&T","9296","7004.95","17798.62"
"2026-01-01","MY","Pahang","MY","Penang","Pos Malaysia","20041","15429.04","56608.55"
"2026-01-01","PH","Central Visayas","PH","SOCCSKSARGEN","Ninja Van","12170","8504.28","25470.62"
"2026-01-01","MY","Negeri Sembilan","MY","Sabah","Ninja Van","21829","16432.62","142797.32"
"2026-01-01","ID","North Sumatra","ID","East Java","DHL","19331","13453.27","156291.77"
"2026-01-01","TH",,"TH","","J&T","15556","11293.38","67803.36"
"2026-01-01","PH","Central Luzon","PH","Ilocos Region","Ninja Van","23408","20792.17","30826.55"
"2026-01-01","MY","Selangor","MY","Kuala Lumpur","Pos Malaysia","20244","15166.42","26072.99"
"2026-01-01","MY","Kuala Lumpur","MY","Negeri Sembilan","Ninja Van","14133","10831.79","15621.15"
"2026-01-01","TH","Surat Thani","TH","BKK","J&T","7884","4989.29","22539.87"
"2026-01-01","TH","Korat","TH","Phuket","J&T","15817","9605.64","55359.08"
"2026-01-01","TH","Phuket","TH","Nakhon Sawan","Kerry Express","17346","14448.56","75232.87"
"2026-01-01","PH","","PH","Unknown","LBC Express","21419","17081.36","121970.18"
"2026-01-01","PH","Central Luzon","PH","NCR","2GO Express","9750","6907.9","10571.29"
"2026-01-01","PH","Bicol Region","PH","Bicol Region","Ninja Van","23698","21442.36","31118.08"
"2026-01-01","PH","West Visayas","PH","Calabarzon","J&T","14001","8246.62","30824.9"
"2026-01-01","PH","Northern Mindanao","PH","Northern Mindanao","J&T","24603","19147.34","33533.88"
"2026-01-01","TH","Nakhon Sawan","TH","Chonburi","Ninja Van","11167","7092.19","24724.04"
"2026-01-01","ID","Bali","ID","North Sumatra","Ninja Van","16439","12888.32","132147.26"
"2026-01-01","TH","Songkhla","TH","Chiang Mai","Kerry Express","12253","10230.53","74481.6"
"2026-01-01","TH","Khon Kaen","TH","Chiang Mai","Kerry Express","9723","8360.58","33952.34"
"2026-01-01","MY","Sabah","MY","Sarawak","Pos Malaysia","20257","18822.71","104830.13"
"2026-01-01","PH","Bicol Region","PH","Ilocos Region","LBC Express","26988","22696.68","89258.06"
"2026-01-01","ID","West Java","ID","North Sumatra","SiCepat","18627","13578.18","126623.97"
"2026-01-01","MY","Kuala Lumpur","MY","Sabah","Pos Malaysia","26672","21018.28","193596.77"
"2026-01-01","TH","Surat Thani","TH","Songkhla","Ninja Van","20760","17861.14","42099.89"
"2026-01-01","TH","Surat Thani","TH","Phuket","Ninja Van","7925","5202.4","14278.01"
"2026-01-01","PH","Central Luzon","PH","Bicol Region","J&T","26202","23488.5","48282.93"
"2026-01-01","ID","Bali","ID","East Java","DHL","27990","19680.85","59442.21"
"2026-01-01","PH","NCR","PH","West Visayas","Ninja Van","28729","17110.97","64337.29"
"2026-01-01","MY","Selangor","MY","Selangor","Pos Malaysia","26104","18456.49","36109.67"
"2026-01-01","TH","Chiang Mai","TH","Uknown","J&T","17770","9549.83","95543.25"
"2026-01-01","ID","Bali","ID","South Sulawesi","J&T","20274","16060.04","62731.26"
"2026-01-01","PH","Central Luzon","PH","Central Luzon","Ninja Van","14726","10148.68","15740.01"
"2026-01-01","MY","Kedah","MY","Sarawak","Ninja Van","26976","24539.3","135360.93"
"2026-01-01","ID","North Sumatra","ID","North Sumatra","Pos Indonesia","31388","24240.47","37261.93"
"2026-01-01","MY","Pahang","MY","Pahang","Pos Malaysia","9553","7819.61","13937.97"
"2026-01-01","PH","Northern Mindanao","PH","Bicol Region","LBC Express","11046","10473.6","42725.51"
"2026-01-01","PH","Ilocos Region","PH","Calabarzon","2GO Express","26786","16919.4","50029.1"
"2026-01-01","TH","Surat Thani","TH","Khon Kaen","J&T","26170","22520.96","112631.76"
"2026-01-01","MY","Negeri Sembilan","MY","Kedah","Ninja Van","17012","15393.14","43849.02"
"2026-01-01","ID","South Sulawesi","ID","East Java","Pos Indonesia","28957","21946.34","110168.41"
"2026-01-01","MY","Perak","MY","Pahang","J&T","21076","17009.64","41072.88"
"2026-01-01","TH","Chiang Mai","TH","BKK","Kerry Express","15620","10365.17","60936.35"
"2026-01-01","MY","Sarawak","MY","Selangor","Ninja Van","21211","13575.68","87602.13"
"2026-01-01","PH","Bicol Region","PH","SOCCSKSARGEN","LBC Express","14240","10734.76","69534.74"
"2026-01-01","MY","Perak","MY","Kuala Lumpur","J&T","14481","10427.28","24354.27"
"2026-01-01","ID","Riau","ID","Banten","J&T","12154","7635.21","52603.49"
"2026-01-01","PH","Calabarzon","PH","Central Luzon","2GO Express","28606","20505.6","37001.58"
"2026-01-01","ID","Jakarta","ID","West Java","SiCepat","27857","17810.96","46433.25"
"2026-01-01","MY","Sabah","MY","Johor","J&T","15576","11437.2","95217.37"
"2026-01-01","MY","Johor","MY","Kedah","Ninja Van","19472","17407.93","54687.1"
"2026-01-01","MY","Negeri Sembilan","MY","Selangor","Pos Malaysia","16244","10909.21","28400.78"
"2026-01-01","TH","Nonthaburi","TH","Surat Thani","J&T","11792","9045.05","30796.27"
"2026-01-01","TH","Surat Thani","TH","Chonburi","Ninja Van","10947","7192.2","32478.19"
"2026-01-01","TH","Korat","TH","Chonburi","Kerry Express","24424","16084.42","47928.71"
"2026-01-01","MY","Pahang","MY","Perak","Ninja Van","21851","18654.0","40840.87"
"2026-01-01","ID","Jakarta","ID","South Sulawesi","J&T","23268","18822.63","118319.58"
"2026-01-01","MY","Kuala Lumpur","MY","Johor","Pos Malaysia","21684","16095.13","49360.98"
"2026-01-01","TH","Chiang Mai","TH","Nonthaburi","Kerry Express","18608","12315.84","70311.02"
"2026-01-01","PH","Bicol Region","PH","NCR","LBC Express","14042","9538.13","36895.73"
"2026-01-01","TH","BKK","TH","Korat","Ninja Van","29769","18427.78","47450.55"
"2026-01-01","MY","Penang","MY","Penang","Pos Malaysia","25784","20878.15","34407.59"
"2026-01-01","ID","South Sulawesi","ID","Riau","Pos Indonesia","7859","5769.97","64117.29"
"2026-01-01","ID","Unknown","ID","South Sulawesi","Ninja Van","31029","26558.58","142875.22"
"2026-01-01","PH","Ilocos Region","PH","Central Visayas","LBC Express","10033","8268.69","45484.57"
"2026-01-01","PH","SOCCSKSARGEN","PH","Northern Mindanao","DHL","12293","9415.17","23387.04"
"2026-01-01","PH","Central Luzon","PH","Northern Mindanao","J&T","27208","21842.99","89269.78"
"2026-01-01","MY","Kuala Lumpur","MY","Kedah","Ninja Van","16589","14535.56","31332.69"
"2026-01-01","ID","Riau","ID","Central Java","SiCepat","23896","17894.96","170501.28"
"2026-01-01","TH","Chonburi","TH","Khon Kaen","Ninja Van","25090","21637.89","52380.02"
"2026-01-01","TH","BKK","TH","Chonburi","J&T","28289","16870.53","33481.27"
"2026-01-01","MY","Johor","MY","Perak","J&T","19881","16336.7","44494.38"
"2026-01-01","TH","Khon Kaen","TH","Songkhla","Kerry Express","12928","11612.64","75804.04"
"2026-01-01","PH","NCR","PH","Bicol Region","LBC Express","10543","9780.47","24173.09"
"2026-01-01","PH","Central Visayas","PH","Central Visayas","2GO Express","12911","9295.98","14059.3"
"2026-01-01","TH","Korat","TH","Korat","Kerry Express","12269","8249.44","16338.86"
"2026-01-01","PH","Ilocos Region","PH","NCR","2GO Express","20730","14911.13","36945.93"
"2026-01-01","MY","Negeri Sembilan","MY","Perak","Pos Malaysia","9768","8558.65","24587.75"
"2026-01-01","ID","Central Java","ID","Central Java","J&T","17910","13027.59","19542.79"
"2026-01-01","MY","Sabah","MY","Perak","Pos Malaysia","14165","12678.96","122215.68"
"2026-01-01","MY","Kedah","MY","Penang","Ninja Van","16573","12580.66","21705.16"
"2026-01-01","TH","Phuket","TH","Korat","J&T","10201","5925.36","34841.27"
"2026-01-01","TH","Surat Thani","TH","Nakhon Sawan","J&T","22699","17741.42","80257.77"
"2026-01-01","MY","Sabah","MY","Pahang","DHL","10931","7971.39","69708.78"
"2026-01-01","PH","West Visayas","PH","West Visayas","J&T","28332","16250.21","31406.77"
"2026-01-01","PH","Bicol Region","PH","","Ninja Van","10331","7248.42","53371.86"
"2026-01-01","TH","Khon Kaen","TH","Phuket","Kerry Express","16183","10658.62","91768.57"
"2026-01-01","TH","BKK","TH","Songkhla","Kerry Express","13544","11616.23","49537.59"
"2026-01-01","MY","Sabah","MY","Kuala Lumpur","J&T","28911","20058.86","192698.99"
"2026-01-01","ID","Central Java","ID","Banten","Pos Indonesia","35820","23453.38","84205.79"
"2026-01-01","MY","Sabah","MY","Selangor","Ninja Van","19455","12693.53","138851.9"
"2026-01-01","PH","Northern Mindanao","PH","NCR","Ninja Van","10000","7192.37","40137.49"
"2026-01-01","ID","South Sulawesi","ID","Banten","DHL","18200","10805.2","109060.46"
"2026-01-01","PH","NCR","PH","Unknown","2GO Express","24825","19813.05","108032.32"
"2026-01-01","PH","West Visayas","PH","Northern Mindanao","LBC Express","22830","19185.13","57130.06"
"2026-01-01","ID","North Sumatra","ID","Banten","Ninja Van","30479","20469.26","178853.37"
"2026-01-01","MY","Negeri Sembilan","MY","Sarawak","Ninja Van","7594","6523.5","34079.23"
"2026-01-01","ID","Jakarta","ID","Banten","Pos Indonesia","18751","12444.55","21117.44"
"2026-01-01","PH","Northern Mindanao","PH","West Visayas","LBC Express","15636","9574.06","45464.12"
"2026-01-01","PH","Calabarzon","PH","Northern Mindanao","2GO Express","8637","7039.42","27033.4"
"2026-01-01","MY","Pahang","MY","Sabah","J&T","23847","18382.71","134348.18"
"2026-01-01","TH","Surat Thani","TH","Chiang Mai","FedEx","20829","17359.56","101621.17"
"2026-01-01","ID","West Java","ID","Central Java","Pos Indonesia","22948","17736.0","41782.33"
"2026-01-01","ID","Jakarta","ID","Jakarta","DHL","15873","10021.82","16655.41"
"2026-01-01","PH","Northern Mindanao","PH","Central Luzon","J&T","15697","10538.13","65433.13"
"2026-01-01","MY","Pahang","MY","Sarawak","Ninja Van","23038","19764.32","83108.32"
"2026-01-01","TH","Phuket","TH","Nonthaburi","J&T","19512","11894.73","56382.98"
"2026-01-01","ID","East Java","ID","Riau","J&T","17526","12215.21","94282.63"
"2026-01-01","ID","Banten","ID","Central Java","J&T","8631","6405.62","19307.28"
"2026-01-01","ID","South Sulawesi","ID","North Sumatra","Pos Indonesia","32072","24291.41","301942.34"
"2026-01-01","TH","BKK","TH","Nakhon Sawan","J&T","15453","12193.62","24894.07"
"2026-01-01","ID","South Sulawesi","ID","West Java","J&T","10551","6687.44","58409.5"
"2026-01-01","MY","Penang","MY","Perak","J&T","7568","6343.36","9873.85"
"2026-01-01","TH","Phuket","TH","Khon Kaen","Kerry Express","8648","8004.27","44690.05"
"2026-01-01","MY","Penang","MY","Johor","Pos Malaysia","12109","9738.64","40428.76"
"2026-01-01","PH","SOCCSKSARGEN","PH","Central Luzon","DHL","28852","18726.81","135683.64"
"2026-01-01","PH","Northern Mindanao","PH","Ilocos Region","DHL","7965","6443.25","34837.62"
"2026-01-01","MY","Johor","MY","Selangor","J&T","13395","8494.68","25564.74"
"2026-01-01","TH","Chiang Mai","TH","Korat","J&T","13111","8101.23","36255.19"
"2026-01-01","TH","Phuket","TH","Chonburi","J&T","16754","9662.5","49688.96"
"2026-01-01","MY","Kuala Lumpur","MY","Penang","FedEx","12378","8158.07","22059.23"
"2026-01-01","ID","Central Java","ID","West Java","Ninja Van","24776","15955.44","45225.5"
"2026-01-01","MY","Pahang","MY","Kedah","Ninja Van","24176","22487.79","55793.99"
"2026-01-01","TH","Nonthaburi","TH","Chonburi","J&T","21951","13167.04","24912.99"
"2026-01-01","TH","Chiang Mai","TH","Nakhon Sawan","Kerry Express","24272","20531.76","70116.81"
"2026-01-01","PH","Northern Mindanao","PH","SOCCSKSARGEN","LBC Express","11120","8571.97","28216.54"
"2026-01-01","MY","Johor","MY","Johor","Pos Malaysia","27328","20686.7","37953.66"
"2026-01-01","MY","Perak","MY","Penang","Ninja Van","25221","18775.16","37885.54"
"2026-01-01","MY","Sabah","MY","Penang","J&T","21628","15961.88","164724.09"
"2026-01-01","TH","Korat","TH","Nonthaburi","Ninja Van","14942","9920.02","23661.69"
"2026-01-01","MY","Penang","MY","Sarawak","J&T","21474","18489.33","96075.5"
"2026-01-01","ID","North Sumatra","ID","Bali","Pos Indonesia","10994","8841.1","98426.8"
"2026-01-01","ID","Riau","ID","West Java","Ninja Van","23848","16808.07","111228.23"
"2026-01-01","MY","Sarawak","MY","Kedah","Ninja Van","8572","7473.98","44409.01"
"2026-01-01","TH","Nakhon Sawan","TH","Korat","Kerry Express","9272","6079.21","23954.49"
"2026-01-01","MY","Perak","MY","Sabah","J&T","26436","20671.16","175379.96"
"2026-01-01","MY","Johor","MY","Sabah","Pos Malaysia","23601","18477.99","148193.64"
"2026-01-01","TH","Korat","TH","Khon Kaen","J&T","12940","11178.27","19741.54"
"2026-01-01","PH","West Visayas","PH","SOCCSKSARGEN","LBC Express","27679","21748.3","89107.49"
"2026-01-01","MY","Penang","MY","Kuala Lumpur","DHL","14939","9738.79","27018.48"
"2026-01-01","TH","Khon Kaen","TH","Korat","J&T","26417","16272.75","46679.75"
"2026-01-01","PH","Ilocos Region","PH","Bicol Region","LBC Express","10980","10273.14","37803.19"
"2026-01-01","MY","Johor","MY","","Ninja Van","29595","22142.64","131473.33"
"2026-01-01","PH","Central Luzon","PH","Central Visayas","J&T","26749","20369.47","70276.18"
"2026-01-01","ID","East Java","ID","East Java","Ninja Van","23413","17921.34","25006.84"
"2026-01-01","MY","Kuala Lumpur","MY","Selangor","Pos Malaysia","25853","17414.96","32620.23"
"2026-01-01","TH","Songkhla","TH","Phuket","FedEx","25503","15621.37","46787.38"
"2026-01-01","TH","Chonburi","TH","Nonthaburi","J&T","16565","10274.4","18706.98"
"2026-01-01","ID","Banten","ID","North Sumatra","Ninja Van","26245","20206.63","121061.22"
"2026-01-01","PH","Calabarzon","PH","Calabarzon","DHL","25759","14668.89","28540.05"
"2026-01-01","TH","Surat Thani","TH","Surat Thani","Kerry Express","24106","20670.57","38039.38"
"2026-01-01","TH","Nonthaburi","TH","Nonthaburi","J&T","7387","4706.47","7817.66"
"2026-01-01","PH","SOCCSKSARGEN","PH","West Visayas","2GO Express","10524","6196.45","31397.01"
"2026-01-01","PH","Central Visayas","PH","NCR","DHL","10940","6843.84","29145.67"
"2026-01-01","ID","Riau","ID","North Sumatra","J&T","23700","18461.49","63020.06"
"2026-01-01","ID","Riau","ID","East Java","Pos Indonesia","14445","11050.85","94695.84"
"2026-01-01","MY","Sarawak","MY","Sarawak","Ninja Van","9122","7595.94","10787.88"
"2026-01-01","MY","Kuala Lumpur","MY","Kuala Lumpur","Ninja Van","8127","5566.29","8220.87"
"2026-01-01","TH","Nakhon Sawan","TH","Khon Kaen","J&T","22121","19188.33","50943.54"
"2026-01-01","TH","Chonburi","TH","Phuket","Kerry Express","7450","4850.89","26564.43"
"2026-01-01","PH","SOCCSKSARGEN","PH","SOCCSKSARGEN","LBC Express","12474","9168.59","20859.93"
"2026-01-01","PH","Central Luzon","PH","West Visayas","LBC Express","9282","5676.41","27075.76"
"2026-01-01","TH","BKK","TH","Phuket","Ninja Van","26100","16200.22","74443.14"
"2026-01-01","ID","West Java","ID","Bali","J&T","33256","25820.59","112303.49"
"2026-01-01","MY","Negeri Sembilan","MY","Penang","Pos Malaysia","15175","11357.5","46093.35"
"2026-01-01","PH","Ilocos Region","PH","Central Luzon","DHL","18537","12645.47","29893.08"
"2026-01-01","TH","Nakhon Sawan","TH","Nakhon Sawan","J&T","11324","8922.23","15834.23"
"2026-01-01","TH","BKK","TH","Nonthaburi","Ninja Van","29189","17844.67","29225.25"
"2026-01-01","TH","Khon Kaen","TH","Chonburi","J&T","17547","10717.55","40453.47"
"2026-01-01","TH","Songkhla","TH","Chonburi","Kerry Express","22948","15199.98","88531.73"
"2026-01-01","TH","BKK","TH","Chiang Mai","J&T","22799","16954.57","57702.05"
"2026-01-01","MY","Kuala Lumpur","MY","Sarawak","J&T","24920","20637.82","88977.97"
"2026-01-01","TH","Chiang Mai","TH","Phuket","J&T","28665","17423.17","150340.67"
"2026-01-01","TH","Chonburi","TH","Chiang Mai","Kerry Express","15157","12979.46","53645.46"
"2026-01-01","TH","Phuket","TH","Chiang Mai","Kerry Express","9087","7239.85","47783.66"
